Age,NumSurvivors
0,100000
1,99455.4296875
2,99415.390625
3,99390.1171875
4,99371.046875
5,99355.015625
6,99340.8203125
7,99327.9140625
8,99316.09375
9,99305.453125
10,99295.96875
11,99287.0390625
12,99277.125
13,99263.625
14,99243.3125
15,99213.6484375
16,99173.4453125
17,99122.5625
18,99060.8125
19,98988.4140625
20,98905.5625
21,98811.671875
22,98706.453125
23,98590.984375
24,98466.8984375
25,98335.453125
26,98197.234375
27,98051.953125
28,97898.9921875
29,97737.3671875
30,97566.4375
31,97386.015625
32,97196.453125
33,96998.203125
34,96791.7890625
35,96577.34375
36,96354.4375
37,96122.296875
38,95880.1796875
39,95627.21875
40,95362.5
41,95084.375
42,94791.65625
43,94484.1953125
44,94162.0390625
45,93824.2578125
46,93468.4765625
47,93091.25
48,92689.5390625
49,92260.84375
50,91803.2890625
51,91316.03125
52,90796.84375
53,90241.3828125
54,89644.03125
55,89000.0078125
56,88308.7890625
57,87569.7265625
58,86777.9453125
59,85927.953125
60,85016.5703125
61,84041.6875
62,83005.1640625
63,81911.6953125
64,80766.5078125
65,79571.328125
66,78324.7890625
67,77014.7578125
68,75639.828125
69,74193.4296875
70,72670.546875
71,71077.65625
72,69404.7421875
73,67643.7734375
74,65775.703125
75,63809.73046875
76,61657.6953125
77,59380.46484375
78,56944.89453125
79,54396.140625
80,51701.89453125
81,48903.80078125
82,45994.87890625
83,42986.75
84,39882.05859375
85,36667.2265625
86,33398.73828125
87,30072.69921875
88,26733.9921875
89,23432.77734375
90,20222.474609375
91,17157.07421875
92,14287.90625
93,11660.169921875
94,9309.598632812
95,7259.715332031
96,5520.122070312
97,4086.146484375
98,2939.968017578
99,2053.08984375
100,1389.773193359
