Age,NumSurvivors
0,100000
1,99598.515625
2,99570.1953125
3,99559.3046875
4,99544.3671875
5,99539.2265625
6,99529.28125
7,99519.6328125
8,99510.4453125
9,99501.890625
10,99494.0234375
11,99486.640625
12,99479.1484375
13,99470.4453125
14,99459.125
15,99443.9375
16,99424.7578125
17,99401.1328125
18,99371.2109375
19,99332.7890625
20,99284.578125
21,99225.796875
22,99157.546875
23,99082.90625
24,99006.0078125
25,98929.65625
26,98854.609375
27,98780.1171875
28,98705.4375
29,98629.375
30,98551.1015625
31,98470.4296875
32,98387.5546875
33,98302.4609375
34,98215.1171875
35,98125.2890625
36,98032.4609375
37,97935.9140625
38,97834.7578125
39,97727.84375
40,97613.828125
41,97491.2265625
42,97358.4921875
43,97214.265625
44,97057.6875
45,96888.0390625
46,96705.1328125
47,96507.5
48,96291.84375
49,96053.5
50,95788.3125
51,95492.3359375
52,95164.7578125
53,94807.9375
54,94426.59375
55,94023.53125
56,93599
57,93148.421875
58,92663.9453125
59,92134.828125
60,91552.3125
61,90912.3515625
62,90214.09375
63,89455.78125
64,88636.6953125
65,87755.921875
66,86811.3125
67,85800.25
68,84721.1015625
69,83572.3828125
70,82352.2890625
71,81057.5625
72,79684.984375
73,78230.34375
74,76685.0703125
75,75035.1015625
76,73265.7890625
77,71350.203125
78,69255.3203125
79,66984.8984375
80,64510.015625
81,61870.61328125
82,59040.4921875
83,56033.234375
84,52840.1640625
85,49432.359375
86,45901.33984375
87,42164.53515625
88,38262.84375
89,34250.1484375
90,30192.53515625
91,26166.068359375
92,22253.00390625
93,18536.52734375
94,15094.421875
95,11992.423828125
96,9278.251953125
97,6977.370117188
98,5091.354492188
99,3599.260009766
100,2461.764404297
