Age,NumSurvivors
0,100000
1,98948.5625
2,98864.03125
3,98816.2734375
4,98778.75
5,98744.1796875
6,98715.2421875
7,98688.3828125
8,98663.78125
9,98642.4921875
10,98625.171875
11,98610.84375
12,98595.953125
13,98574.046875
14,98536.8984375
15,98478.0625
16,98394.46875
17,98286.46875
18,98155.2734375
19,98004.046875
20,97835.6484375
21,97650.0859375
22,97447.2578125
23,97230.296875
24,97003.1953125
25,96768.9296875
26,96528.9296875
27,96282.953125
28,96030.140625
29,95768.8359375
30,95497.6640625
31,95216.359375
32,94925.015625
33,94622.671875
34,94307.796875
35,93978.53125
36,93632.84375
37,93269.078125
38,92886.265625
39,92484.6328125
40,92064.6640625
41,91624.984375
42,91164.15625
43,90682.625
44,90180.6640625
45,89657.09375
46,89109.046875
47,88532.625
48,87924.328125
49,87281.421875
50,86601.8515625
51,85885.0078125
52,85128.0390625
53,84324.9609375
54,83468.2578125
55,82552.1328125
56,81577.53125
57,80544.8046875
58,79447.2109375
59,78276.1953125
60,77026.453125
61,75697.390625
62,74293.375
63,72818.7265625
64,71277.5625
65,69671.5546875
66,67997.90625
67,66255.3984375
68,64454.046875
69,62599.96484375
70,60702.24609375
71,58773.66015625
72,56792.41015625
73,54768.32421875
74,52705.84375
75,50597.078125
76,48403.73828125
77,46168.640625
78,43814.94921875
79,41418.76171875
80,38950.33984375
81,36467.671875
82,33923.20703125
83,31396.58203125
84,28858.73046875
85,26311.6171875
86,23771.740234375
87,21268.6796875
88,18829.240234375
89,16480.294921875
90,14247.737304688
91,12155.341796875
92,10223.625976562
93,8468.807617188
94,6901.947265625
95,5528.388183594
96,4347.555175781
97,3353.162597656
98,2533.822753906
99,1874.002929688
100,1355.232299805
