Age,NumSurvivors
0,100000
1,99416.6796875
2,99375.328125
3,99348.09375
4,99325.828125
5,99308.4296875
6,99292.4609375
7,99277.6171875
8,99263.9921875
9,99252.1640625
10,99242.4453125
11,99234.1328125
12,99224.921875
13,99210.65625
14,99186.09375
15,99147.171875
16,99092.078125
17,99020.7890625
18,98933.1875
19,98829.8828125
20,98711.3984375
21,98577.0703125
22,98426.5625
23,98261.4375
24,98084.0390625
25,97896.25
26,97699.015625
27,97492.25
28,97275.6875
29,97048.671875
30,96810.828125
31,96562.1171875
32,96303.09375
33,96034.5390625
34,95757.3203125
35,95471.8046875
36,95177.6875
37,94874.1015625
38,94560.03125
39,94234.171875
40,93895.1953125
41,93541.0078125
42,93170.2265625
43,92782.7890625
44,92378.9453125
45,91957.7109375
46,91516.359375
47,91050.5625
48,90556.0703125
49,90029.1796875
50,89467.3203125
51,88869.7265625
52,88234.1875
53,87555.6875
54,86827.5625
55,86044.1171875
56,85204.8359375
57,84309.34375
58,83352.4375
59,82328.46875
60,81234.6171875
61,80069.609375
62,78836.4140625
63,77540.59375
64,76187.8671875
65,74780.3203125
66,73316.4375
67,71782.125
68,70181.171875
69,68510.578125
70,66771.5859375
71,64974.89453125
72,63109.87890625
73,61166.83984375
74,59126.265625
75,57001.03125
76,54692.68359375
77,52283.29296875
78,49731.359375
79,47086.98046875
80,44313.16796875
81,41479.18359375
82,38562.74609375
83,35595.015625
84,32576.10546875
85,29497.67578125
86,26420.501953125
87,23344.40625
88,20318.5234375
89,17394.41015625
90,14623.188476562
91,12052.225585938
92,9721.703125
93,7661.487792969
94,5888.777832031
95,4406.939453125
96,3205.788085938
97,2263.325683594
98,1548.677246094
99,1025.740844727
100,656.941772461
