Age,NumSurvivors
0,100000
1,99495.9609375
2,99457.296875
3,99434.0703125
4,99418.3359375
5,99403.7265625
6,99391.390625
7,99380.5078125
8,99370.5703125
9,99361.1796875
10,99351.9453125
11,99342.3671875
12,99331.71875
13,99319.03125
14,99303.1796875
15,99283.25
16,99258.6796875
17,99229.203125
18,99194.5390625
19,99154.515625
20,99108.984375
21,99057.4296875
22,98999.6171875
23,98936.109375
24,98867.8203125
25,98795.34375
26,98718.90625
27,98638
28,98551.609375
29,98458.3671875
30,98357.3046875
31,98248.0390625
32,98130.7421875
33,98005.6171875
34,97872.9375
35,97732.671875
36,97584.3046875
37,97427.125
38,97260.6015625
39,97084.2109375
40,96897.3671875
41,96698.875
42,96487.7734375
43,96263.8359375
44,96026.90625
45,95776.1640625
46,95509.5390625
47,95224.53125
48,94919.484375
49,94593.390625
50,94245.3046875
51,93874.4453125
52,93478.546875
53,93053.7578125
54,92595.2109375
55,92098.7734375
56,91563.765625
57,90989.3125
58,90371.0234375
59,89703.84375
60,88984.4609375
61,88210.046875
62,87381.265625
63,86501.703125
64,85575.609375
65,84603.9453125
66,83585.2421875
67,82508.6640625
68,81368.3203125
69,80154.6875
70,78857.1796875
71,77479.125
72,76009.8359375
73,74442.8515625
74,72760.2109375
75,70966.875
76,68984.5703125
77,66851.40625
78,64542.609375
79,62099.21875
80,59493.09765625
81,56736.4453125
82,53838.09765625
83,50790.42578125
84,47596.6875
85,44237.203125
86,40735.87109375
87,37156.40234375
88,33488.625
89,29783.599609375
90,26099.798828125
91,22500.810546875
92,19052.056640625
93,15816.712890625
94,12851.189453125
95,10200.6796875
96,7895.421875
97,5948.310058594
98,4354.327148438
99,3091.985351562
100,2126.583251953
