Age,NumSurvivors
0,100000
1,99519.59375
2,99490.15625
3,99468.3203125
4,99452.9453125
5,99439.0703125
6,99427.3984375
7,99416.875
8,99407.2109375
9,99398.34375
10,99390.140625
11,99382.0390625
12,99372.8125
13,99360.4453125
14,99342.421875
15,99316.6328125
16,99281.9921875
17,99238.1796875
18,99184.640625
19,99121.0859375
20,99047.3046875
21,98962.5078125
22,98866.34375
23,98759.8671875
24,98644.921875
25,98523.0703125
26,98394.875
27,98260.1953125
28,98119.0859375
29,97971.3203125
30,97816.7109375
31,97655.109375
32,97486.6796875
33,97311.8046875
34,97131.0234375
35,96944.5546875
36,96752.3203125
37,96553.6015625
38,96347.1796875
39,96131.3984375
40,95904.7578125
41,95666.2421875
42,95415.0703125
43,95150.1015625
44,94870.046875
45,94573.390625
46,94258.3203125
47,93923
48,93565.75
49,93185.03125
50,92779.1328125
51,92346.671875
52,91885.1328125
53,91390.328125
54,90857.0859375
55,90280.921875
56,89659.7890625
57,88992.1328125
58,88274.15625
59,87501.1796875
60,86668.96875
61,85772.28125
62,84809.375
63,83783.75
64,82702.3359375
65,81569.96875
66,80386.0703125
67,79145.2890625
68,77842.8671875
69,76473.0078125
70,75030.984375
71,73514.5625
72,71921.390625
73,70245.390625
74,68476.59375
75,66602.8671875
76,64611.25
77,62489.2265625
78,60225.91796875
79,57838.11328125
80,55310.6015625
81,52662.25
82,49883.9375
83,46987.12109375
84,43977.51953125
85,40841.75
86,37638.8828125
87,34342.88671875
88,30991.28515625
89,27627.796875
90,24301.076171875
91,21062.8046875
92,17965.162109375
93,15057.82421875
94,12384.750976562
95,9981.095703125
96,7870.655273438
97,6064.233886719
98,4559.2265625
99,3340.521484375
100,2382.625488281
