Age,NumSurvivors
0,100000
1,99552.3515625
2,99524.3359375
3,99500.609375
4,99485.4921875
5,99472.328125
6,99461.265625
7,99451.8046875
8,99443.2578125
9,99435.0546875
10,99426.6875
11,99417.6171875
12,99407.2265625
13,99394.7578125
14,99379.3671875
15,99360.296875
16,99337.1484375
17,99309.671875
18,99277.3984375
19,99239.8828125
20,99196.8515625
21,99147.6171875
22,99092.21875
23,99032.171875
24,98969.765625
25,98906.6640625
26,98843.578125
27,98779.84375
28,98714.0859375
29,98644.1875
30,98568.5078125
31,98486.25
32,98397.7109375
33,98303.6015625
34,98205.1796875
35,98103.2421875
36,97997.515625
37,97887.0546875
38,97771.203125
39,97649.09375
40,97519.734375
41,97382.875
42,97237.53125
43,97080.9296875
44,96909.4765625
45,96720.2109375
46,96510.7421875
47,96280.5625
48,96030.8125
49,95763.8125
50,95480.7734375
51,95181.1484375
52,94862.078125
53,94519.671875
54,94148.859375
55,93745.2578125
56,93307.359375
57,92833.6640625
58,92319.46875
59,91758.6953125
60,91146
61,90475.4453125
62,89745.2734375
63,88959.375
64,88125.5234375
65,87248.9296875
66,86329.59375
67,85360.984375
68,84334.25
69,83237.0703125
70,82058.5625
71,80792.4375
72,79434.8046875
73,77978.4765625
74,76414.109375
75,74730.0390625
76,72911.859375
77,70944.078125
78,68813
79,66529.125
80,64080.1328125
81,61463.19140625
82,58682.0703125
83,55722.91015625
84,52590.12109375
85,49262.2109375
86,45755.71875
87,42140
88,38383.08984375
89,34531.328125
90,30640.7890625
91,26775.69140625
92,23005.67578125
93,19401.99609375
94,16032.8203125
95,12958.109375
96,10224.70703125
97,7862.384765625
98,5881.553222656
99,4273.12109375
100,3010.608154297
