Age,NumSurvivors
0,100000
1,99246.9296875
2,99124.5078125
3,99054.109375
4,99008.796875
5,98979.4765625
6,98949.9140625
7,98925.03125
8,98904.34375
9,98888.15625
10,98876.2109375
11,98866.453125
12,98854.03125
13,98830.921875
14,98787.1875
15,98714.71875
16,98608.9765625
17,98468.4140625
18,98291.3984375
19,98077.46875
20,97825.859375
21,97534.4921875
22,97200.8671875
23,96824.296875
24,96405.5078125
25,95945.9921875
26,95447.796875
27,94911.6484375
28,94336.7421875
29,93721.25
30,93064.0625
31,92366.2734375
32,91630.1015625
33,90855.9765625
34,90043.2421875
35,89190.8671875
36,88291.8359375
37,87345.6640625
38,86366.390625
39,85375.890625
40,84388.4609375
41,83414.21875
42,82442.3125
43,81440.734375
44,80364.2421875
45,79180.5390625
46,77870.734375
47,76448.890625
48,74956.1796875
49,73452.40625
50,71976.8125
51,70543.3984375
52,69132.78125
53,67710.453125
54,66231.3515625
55,64669.4921875
56,63030.0546875
57,61333.66015625
58,59591.4140625
59,57816.15234375
60,56019.1796875
61,54200.31640625
62,52366.78515625
63,50542.30859375
64,48754.31640625
65,47019.8828125
66,45347.4609375
67,43727.62109375
68,42136.81640625
69,40541.703125
70,38920.40234375
71,37270.0390625
72,35600.69921875
73,33919.1640625
74,32232.115234375
75,30540.884765625
76,28836.150390625
77,27110.21875
78,25371.251953125
79,23643.326171875
80,21952.099609375
81,20314.484375
82,18724.83984375
83,17180.87109375
84,15679.158203125
85,14219.916015625
86,12832.067382812
87,11494.309570312
88,10215.73828125
89,9004.690429688
90,7868.482421875
91,6813.161621094
92,5843.297363281
93,4961.822265625
94,4169.94140625
95,3467.11328125
96,2851.115722656
97,2318.188964844
98,1863.247314453
99,1480.150390625
100,1162.007568359
