Age,NumSurvivors
0,100000
1,99258.7890625
2,99195.21875
3,99157.0625
4,99134.90625
5,99098.9921875
6,99074.8828125
7,99052.0859375
8,99030.4453125
9,99010.3125
10,98991.765625
11,98973.828125
12,98953.9140625
13,98927.6015625
14,98889.3515625
15,98834.734375
16,98761.3125
17,98668.671875
18,98556.8203125
19,98426.7734375
20,98279.21875
21,98112.421875
22,97924.9609375
23,97718.5
24,97495.78125
25,97258.328125
26,97007.171875
27,96739.953125
28,96450.828125
29,96131.9140625
30,95777.2734375
31,95386.828125
32,94961.84375
33,94498.9921875
34,93993.609375
35,93442.359375
36,92836.9921875
37,92178.9453125
38,91487.25
39,90790.6484375
40,90108.8984375
41,89452.0859375
42,88809.4765625
43,88154.4765625
44,87448.265625
45,86661.8046875
46,85781.5390625
47,84816.390625
48,83787.25
49,82727.3828125
50,81660.375
51,80593.515625
52,79517.9609375
53,78421.984375
54,77289.234375
55,76110.46875
56,74888.140625
57,73630.25
58,72340.8046875
59,71024.078125
60,69683.1953125
61,68318.78125
62,66931.6875
63,65523.9375
64,64096.48046875
65,62648.04296875
66,61178.203125
67,59683.17578125
68,58153.5546875
69,56578.30859375
70,54950.34375
71,53265.578125
72,51525.22265625
73,49733.71484375
74,47895.796875
75,46011.43359375
76,44070.5703125
77,42062.6484375
78,39990.8125
79,37873.67578125
80,35734.22265625
81,33592.046875
82,31449.97265625
83,29300.974609375
84,27146.14453125
85,24994.310546875
86,22877.12890625
87,20806.517578125
88,18773.2265625
89,16794.8125
90,14888.640625
91,13071.303710938
92,11358.021484375
93,9762.037109375
94,8294.065429688
95,6961.833007812
96,5769.7578125
97,4718.795898438
98,3806.484863281
99,3027.183837891
100,2372.496337891
